!SIL 1.0	sil
<unk> 1.0	spn
<spn> 1.0	spn
a 1.0	a*
aare 1.0	a* a r e
ab 1.0	a* b
ab 1.0	a* p
abażurem 1.0	a b a Z u* r e m
abchazję 1.0	a b x a* z j e
abchazję 1.0	a b x a* z j en
abchazję 1.0	a p x a* z j e
abchazję 1.0	a p x a* z j en
abchazów 1.0	a b x a* z u f
abchazów 1.0	a b x a* z u v
abchazów 1.0	a p x a* z u f
abchazów 1.0	a p x a* z u v
aberon 1.0	a b e* r o n
aberonowi 1.0	a b e r o n o* v i
aberracyjna 1.0	a b e r a ts I* j n a
aberracyjna 1.0	a b e r r a ts I* j n a
abgarowicz 1.0	a b g a r o* v i tS
abonament 1.0	a b o n a* m e n t
abonamentu 1.0	a b o n a m e* n t u
abonamentów 1.0	a b o n a m e* n t u f
abonamentów 1.0	a b o n a m e* n t u v
abonentom 1.0	a b o n e* n t o m
aborcja 1.0	a b o* r ts j a
aborcji 1.0	a b o* r ts i
aborcji 1.0	a b o* r ts j i
aborcję 1.0	a b o* r ts j e
aborcję 1.0	a b o* r ts j en
abramsa 1.0	a b r a* m s a
abramsy 1.0	a b r a* m s I
abruzji 1.0	a b r u* z i
abruzji 1.0	a b r u* z j i
absolutna 1.0	a b s o l u* t n a
absolutna 1.0	a p s o l u* t n a
absolutne 1.0	a b s o l u* t n e
absolutne 1.0	a p s o l u* t n e
absolutnej 1.0	a b s o l u* t n e j
absolutnej 1.0	a p s o l u* t n e j
absolutnie 1.0	a b s o l u* t ni e
absolutnie 1.0	a p s o l u* t ni e
absolutną 1.0	a b s o l u* t n o m
absolutną 1.0	a b s o l u* t n on
absolutną 1.0	a p s o l u* t n o m
absolutną 1.0	a p s o l u* t n on
absolutorium 1.0	a b s o l u t o* r j u m
absolutorium 1.0	a p s o l u t o* r j u m
absolutów 1.0	a b s o l u* t u f
absolutów 1.0	a b s o l u* t u v
absolutów 1.0	a p s o l u* t u f
absolutów 1.0	a p s o l u* t u v
absolwenci 1.0	a b s o l v e* n tsi i
absolwenci 1.0	a b s o l v e* ni tsi i
absolwenci 1.0	a p s o l v e* n tsi i
absolwenci 1.0	a p s o l v e* ni tsi i
absolwent 1.0	a b s o* l v e n t
absolwent 1.0	a p s o* l v e n t
absolwentami 1.0	a b s o l v e n t a* m i
absolwentami 1.0	a p s o l v e n t a* m i
absolwentka 1.0	a b s o l v e* n t k a
absolwentka 1.0	a p s o l v e* n t k a
absolwentom 1.0	a b s o l v e* n t o m
absolwentom 1.0	a p s o l v e* n t o m
absorbuje 1.0	a b s o r b u* j e
absorbuje 1.0	a p s o r b u* j e
absorbująca 1.0	a b s o r b u j on* ts a
absorbująca 1.0	a p s o r b u j on* ts a
abstrakcji 1.0	a b s t r a* k ts i
abstrakcji 1.0	a b s t r a* k ts j i
abstrakcji 1.0	a p s t r a* k ts i
abstrakcji 1.0	a p s t r a* k ts j i
abstrakcją 1.0	a b s t r a* k ts j o m
abstrakcją 1.0	a b s t r a* k ts j on
abstrakcją 1.0	a p s t r a* k ts j o m
abstrakcją 1.0	a p s t r a* k ts j on
abstrakcyjne 1.0	a b s t r a k ts I* j n e
abstrakcyjne 1.0	a p s t r a k ts I* j n e
abstrakcyjnego 1.0	a b s t r a k ts I j n e* g o
abstrakcyjnego 1.0	a p s t r a k ts I j n e* g o
abstrakcyjnością 1.0	a b s t r a k ts I j n o* si tsi o m
abstrakcyjnością 1.0	a b s t r a k ts I j n o* si tsi on
abstrakcyjnością 1.0	a p s t r a k ts I j n o* si tsi o m
abstrakcyjnością 1.0	a p s t r a k ts I j n o* si tsi on
abstrakcyjnych 1.0	a b s t r a k ts I* j n I x
abstrakcyjnych 1.0	a p s t r a k ts I* j n I x
abstrakcyjnymi 1.0	a b s t r a k ts I j n I* m i
abstrakcyjnymi 1.0	a p s t r a k ts I j n I* m i
abstynencję 1.0	a b s t I n e* n ts j e
abstynencję 1.0	a b s t I n e* n ts j en
abstynencję 1.0	a p s t I n e* n ts j e
abstynencję 1.0	a p s t I n e* n ts j en
absurd 1.0	a* b s u r d
absurd 1.0	a* b s u r t
absurd 1.0	a* p s u r d
absurd 1.0	a* p s u r t
absurdalna 1.0	a b s u r d a* l n a
absurdalna 1.0	a p s u r d a* l n a
absurdalne 1.0	a b s u r d a* l n e
absurdalne 1.0	a p s u r d a* l n e
absurdalnej 1.0	a b s u r d a* l n e j
absurdalnej 1.0	a p s u r d a* l n e j
absurdalnie 1.0	a b s u r d a* l ni e
absurdalnie 1.0	a p s u r d a* l ni e
absurdalność 1.0	a b s u r d a* l n o si tsi
absurdalność 1.0	a p s u r d a* l n o si tsi
absurdalny 1.0	a b s u r d a* l n I
absurdalny 1.0	a p s u r d a* l n I
absurdalnych 1.0	a b s u r d a* l n I x
absurdalnych 1.0	a p s u r d a* l n I x
absurdem 1.0	a b s u* r d e m
absurdem 1.0	a p s u* r d e m
absurdu 1.0	a b s u* r d u
absurdu 1.0	a p s u* r d u
absurdy 1.0	a b s u* r d I
absurdy 1.0	a p s u* r d I
abu 1.0	a* b u
aby 1.0	a* b I
